order_id,supplier_id,supplier_name,supplier_tier,delivery_mode,product_category,warehouse,order_date,planned_delivery,actual_delivery,order_year,order_month,order_quarter,month_name,lead_time_days,delay_days,on_time_flag,qty_ordered,qty_received,qty_damaged,defect_rate_pct,unit_cost,order_value,complete_flag
PO-00001,S004,Global Parts Ltd,Tier 1,Air,Spare Parts,WH-South,2022-01-01,2022-01-04,2022-01-04,2022,1,Q1,Jan,3,0,1,1476,1476,0,0.0,8.87,13092.12,1
PO-00002,S008,Northern Logistics,Tier 3,Rail,Raw Materials,WH-South,2022-01-01,2022-01-07,2022-01-07,2022,1,Q1,Jan,6,0,1,1282,1282,0,0.0,90.79,116392.78,1
PO-00003,S007,Swift Carriers,Tier 2,Road,Raw Materials,WH-East,2022-01-01,2022-01-09,2022-01-23,2022,1,Q1,Jan,8,14,0,1814,1814,0,0.0,171.94,311899.16,1
PO-00004,S004,Global Parts Ltd,Tier 1,Air,Textiles,WH-South,2022-01-01,2022-01-11,2022-01-11,2022,1,Q1,Jan,10,0,1,80,80,0,0.0,493.94,39515.2,1
PO-00005,S009,Eastside Components,Tier 2,Sea,Textiles,WH-Central,2022-01-01,2022-01-04,2022-01-04,2022,1,Q1,Jan,3,0,1,1494,1494,0,0.0,192.12,287027.28,1
PO-00006,S009,Eastside Components,Tier 2,Sea,Packaging,WH-West,2022-01-01,2022-01-08,2022-01-08,2022,1,Q1,Jan,7,0,1,333,333,0,0.0,67.5,22477.5,1
PO-00007,S001,FastTrack Logistics,Tier 1,Road,Raw Materials,WH-North,2022-01-02,2022-01-22,2022-01-22,2022,1,Q1,Jan,20,0,1,838,838,0,0.0,146.48,122750.24,1
PO-00008,S007,Swift Carriers,Tier 2,Road,Spare Parts,WH-Central,2022-01-02,2022-01-05,2022-01-05,2022,1,Q1,Jan,3,0,1,1495,1495,0,0.0,182.55,272912.25,1
PO-00009,S010,Reliable Goods Co.,Tier 3,Road,Chemicals,WH-South,2022-01-02,2022-01-16,2022-01-23,2022,1,Q1,Jan,14,7,0,1113,1113,0,0.0,378.87,421682.31,1
PO-00010,S007,Swift Carriers,Tier 2,Road,Textiles,WH-North,2022-01-02,2022-01-14,2022-01-14,2022,1,Q1,Jan,12,0,1,1687,1687,0,0.0,115.55,194932.85,1
