order_details_id,order_id,item_id
1,1,5
2,1,6
3,2,11
4,3,4
5,4,25
6,4,26
7,5,6
8,6,31
9,6,3
10,7,13
11,7,24
12,8,14
13,9,27
14,9,18
15,9,8
16,10,14
17,10,13
18,10,26
19,11,31
20,11,25
21,12,2
22,13,24
23,13,2
24,14,19
25,14,32
26,14,14
27,15,16
28,15,25
29,15,17
30,16,24
31,16,29
32,17,14
33,17,26
34,17,18
35,18,16
36,19,24
37,19,2
38,19,31
39,20,9
40,20,17
41,20,19
42,21,23
43,21,16
44,22,14
45,22,13
46,23,20
47,23,12
48,24,26
49,24,22
50,24,9
51,25,11
52,25,5
53,26,13
54,26,9
55,27,17
56,27,16
57,27,14
58,28,16
59,28,18
60,29,29
61,30,11
62,31,25
63,31,3
64,31,14
65,32,20
66,33,3
67,33,5
68,33,24
69,33,22
70,34,12
71,34,30
72,34,13
73,34,14
74,35,20
75,36,2
76,36,32
77,36,24
78,37,25
79,37,2
80,37,13
81,38,14
82,38,12
83,39,9
84,39,13
85,40,5
86,40,12
87,41,15
88,41,20
89,42,2
90,42,23
91,43,27
92,43,8
93,44,25
94,44,19
95,44,8
96,45,14
97,46,9
98,47,30
99,48,6
100,48,30
101,49,15
102,49,29
103,50,26
104,50,16
105,50,7
106,51,18
107,51,4
108,52,9
109,53,25
110,53,23
111,54,1
112,54,23
113,54,11
114,55,9
115,55,29
116,56,14
117,57,8
118,58,8
119,58,5
120,58,20
121,59,17
122,59,13
123,60,31
124,60,5
125,61,29
126,61,20
127,62,15
128,63,19
129,63,26
130,64,13
131,64,30
132,65,15
133,65,14
134,66,17
135,66,29
136,67,13
137,68,11
138,68,24
139,68,23
140,69,16
141,70,25
142,70,15
143,71,14
144,71,2
145,72,6
146,73,8
147,73,31
148,74,17
149,74,20
150,75,31
151,76,18
152,76,21
153,77,8
154,77,14
155,78,15
156,78,29
157,78,22
158,78,28
159,79,4
160,79,13
161,80,4
162,81,25
163,81,26
164,82,12
165,82,13
166,83,22
167,84,11
168,85,14
169,85,29
170,86,13
171,86,22
172,87,21
173,88,10
174,89,4
175,89,10
176,90,22
177,90,14
178,91,19
179,92,4
180,92,24
181,92,9
182,93,11
183,93,28
184,94,6
185,94,11
186,95,13
187,95,29
188,96,8
189,96,22
190,97,19
191,97,9
192,98,19
193,98,1
194,99,12
195,99,25
196,100,13
197,101,22
198,101,8
199,101,15
200,102,8
201,102,3
202,103,4
203,103,22
204,103,24
205,104,30
206,104,13
207,104,22
208,105,12
209,105,13
210,105,25
211,105,8
212,106,8
213,106,30
214,107,14
215,107,18
216,107,19
217,107,3
218,108,1
219,108,4
220,109,19
221,110,17
222,110,13
223,111,2
224,111,14
225,111,31
226,111,24
227,112,10
228,112,25
229,113,18
230,113,23
231,114,17
232,114,20
233,115,9
234,115,16
235,116,3
236,116,26
237,117,19
238,117,16
239,118,10
240,118,30
241,118,23
242,118,22
243,119,18
244,119,2
245,120,16
246,120,9
247,121,14
248,122,10
249,122,29
250,123,22
251,123,31
252,123,17
253,124,28
254,124,24
255,124,25
256,125,11
257,125,16
258,125,18
259,125,22
260,126,12
261,126,32
262,127,14
263,127,26
264,128,14
265,128,4
266,129,24
267,129,16
268,130,9
269,130,26
270,130,12
271,130,19
272,131,11
273,131,8
274,132,6
275,133,6
276,133,2
277,134,21
278,134,26
279,134,13
280,135,19
281,135,21
282,136,8
283,137,9
284,137,13
285,138,32
286,138,8
287,139,12
288,140,9
289,141,1
290,141,18
291,142,28
292,143,10
293,143,14
294,144,19
295,144,3
296,144,15
297,144,9
298,145,14
299,146,5
300,146,24
301,146,4
302,147,26
303,148,25
304,149,26
305,149,13
306,149,11
307,150,25
308,150,23
309,151,23
310,151,21
311,151,29
312,152,25
313,153,11
314,153,19
315,154,13
316,155,13
317,155,23
