order_id,order_date,order_time
1,2023-01-01,13:15:00
2,2023-01-01,11:43:00
3,2023-01-01,18:37:00
4,2023-01-01,15:05:00
5,2023-01-01,11:35:00
6,2023-01-01,14:14:00
7,2023-01-01,16:51:00
8,2023-01-01,19:44:00
9,2023-01-01,16:09:00
10,2023-01-01,13:06:00
11,2023-01-01,11:22:00
12,2023-01-01,20:51:00
13,2023-01-01,10:34:00
14,2023-01-01,14:05:00
15,2023-01-01,20:36:00
16,2023-01-01,11:02:00
17,2023-01-01,20:05:00
18,2023-01-01,18:24:00
19,2023-01-01,13:10:00
20,2023-01-01,12:42:00
21,2023-01-01,11:38:00
22,2023-01-01,19:10:00
23,2023-01-01,16:59:00
24,2023-01-01,19:43:00
25,2023-01-01,11:14:00
26,2023-01-01,20:25:00
27,2023-01-01,12:58:00
28,2023-01-01,20:13:00
29,2023-01-01,21:56:00
30,2023-01-01,21:09:00
31,2023-01-01,12:47:00
32,2023-01-01,20:47:00
33,2023-01-01,21:23:00
34,2023-01-01,12:32:00
35,2023-01-01,15:55:00
36,2023-01-01,12:50:00
37,2023-01-01,18:24:00
38,2023-01-01,14:33:00
39,2023-01-01,11:43:00
40,2023-01-01,20:49:00
41,2023-01-01,18:18:00
42,2023-01-01,16:00:00
43,2023-01-01,23:32:00
44,2023-01-01,18:55:00
45,2023-01-01,19:09:00
46,2023-01-01,12:34:00
47,2023-01-01,22:38:00
48,2023-01-01,11:07:00
49,2023-01-01,20:15:00
50,2023-01-01,11:05:00
51,2023-01-02,19:08:00
52,2023-01-02,19:16:00
53,2023-01-02,21:13:00
54,2023-01-02,19:45:00
55,2023-01-02,13:28:00
56,2023-01-02,21:07:00
57,2023-01-02,11:21:00
58,2023-01-02,08:37:00
59,2023-01-02,11:45:00
60,2023-01-02,19:04:00
61,2023-01-02,20:04:00
62,2023-01-02,20:42:00
63,2023-01-02,17:08:00
64,2023-01-02,21:15:00
65,2023-01-02,21:12:00
66,2023-01-02,14:22:00
67,2023-01-02,16:55:00
68,2023-01-02,18:03:00
69,2023-01-02,16:51:00
70,2023-01-02,19:12:00
71,2023-01-02,14:08:00
72,2023-01-02,16:29:00
73,2023-01-02,11:28:00
74,2023-01-02,18:03:00
75,2023-01-02,18:05:00
76,2023-01-02,19:10:00
77,2023-01-02,16:13:00
78,2023-01-02,18:10:00
79,2023-01-02,14:16:00
80,2023-01-02,21:18:00
81,2023-01-02,17:50:00
82,2023-01-02,21:09:00
83,2023-01-02,12:03:00
84,2023-01-03,13:03:00
85,2023-01-03,14:32:00
86,2023-01-03,19:03:00
87,2023-01-03,22:54:00
88,2023-01-03,11:43:00
89,2023-01-03,21:07:00
90,2023-01-03,19:37:00
91,2023-01-03,18:26:00
92,2023-01-03,20:59:00
93,2023-01-03,13:15:00
94,2023-01-03,12:42:00
95,2023-01-03,21:20:00
96,2023-01-03,18:00:00
97,2023-01-03,17:06:00
98,2023-01-03,12:32:00
99,2023-01-03,13:56:00
100,2023-01-03,12:23:00
101,2023-01-03,14:53:00
102,2023-01-03,20:39:00
103,2023-01-03,22:42:00
104,2023-01-03,20:59:00
105,2023-01-03,19:16:00
106,2023-01-03,11:47:00
107,2023-01-03,20:18:00
108,2023-01-03,20:13:00
109,2023-01-03,20:32:00
110,2023-01-03,15:05:00
111,2023-01-03,20:02:00
112,2023-01-03,08:40:00
113,2023-01-03,22:47:00
114,2023-01-03,17:27:00
115,2023-01-03,18:04:00
116,2023-01-03,19:34:00
117,2023-01-03,09:37:00
118,2023-01-03,21:08:00
119,2023-01-04,11:57:00
120,2023-01-04,12:42:00
121,2023-01-04,14:39:00
122,2023-01-04,19:55:00
123,2023-01-04,12:56:00
124,2023-01-04,15:47:00
125,2023-01-04,21:51:00
126,2023-01-04,19:17:00
127,2023-01-04,11:24:00
128,2023-01-04,21:14:00
129,2023-01-04,14:22:00
130,2023-01-04,12:14:00
131,2023-01-04,08:25:00
132,2023-01-04,11:49:00
133,2023-01-04,14:43:00
134,2023-01-04,23:01:00
135,2023-01-04,13:11:00
136,2023-01-04,20:02:00
137,2023-01-04,14:22:00
138,2023-01-05,17:07:00
139,2023-01-05,12:16:00
140,2023-01-05,10:00:00
141,2023-01-05,19:23:00
142,2023-01-05,17:58:00
143,2023-01-05,13:42:00
144,2023-01-05,20:32:00
145,2023-01-05,14:20:00
146,2023-01-05,16:35:00
147,2023-01-05,14:42:00
148,2023-01-05,19:39:00
149,2023-01-05,21:35:00
150,2023-01-05,20:18:00
151,2023-01-05,13:29:00
152,2023-01-05,17:13:00
153,2023-01-05,19:42:00
154,2023-01-05,13:05:00
155,2023-01-05,19:43:00
156,2023-01-05,12:09:00
157,2023-01-05,08:30:00
158,2023-01-05,18:29:00
159,2023-01-05,17:36:00
160,2023-01-05,14:31:00
161,2023-01-05,12:41:00
162,2023-01-05,18:49:00
163,2023-01-05,15:51:00
164,2023-01-05,23:03:00
165,2023-01-05,18:29:00
166,2023-01-06,20:48:00
167,2023-01-06,21:53:00
168,2023-01-06,21:57:00
169,2023-01-06,14:28:00
170,2023-01-06,12:53:00
171,2023-01-06,21:40:00
172,2023-01-06,14:04:00
173,2023-01-06,19:17:00
174,2023-01-06,11:08:00
175,2023-01-06,14:44:00
176,2023-01-06,12:04:00
177,2023-01-06,16:34:00
178,2023-01-06,15:13:00
179,2023-01-06,21:57:00
180,2023-01-06,18:54:00
181,2023-01-06,21:30:00
182,2023-01-06,09:19:00
183,2023-01-06,21:34:00
184,2023-01-06,19:31:00
185,2023-01-06,14:31:00
186,2023-01-06,09:42:00
187,2023-01-06,21:46:00
188,2023-01-06,14:58:00
189,2023-01-06,11:58:00
190,2023-01-06,11:05:00
191,2023-01-06,19:55:00
192,2023-01-06,15:16:00
193,2023-01-06,12:29:00
194,2023-01-06,14:17:00
195,2023-01-06,21:16:00
196,2023-01-06,21:01:00
197,2023-01-06,18:22:00
198,2023-01-06,11:49:00
199,2023-01-06,22:48:00
200,2023-01-07,19:53:00
201,2023-01-07,08:15:00
202,2023-01-07,11:36:00
203,2023-01-07,21:44:00
204,2023-01-07,13:10:00
205,2023-01-07,18:49:00
206,2023-01-07,20:06:00
207,2023-01-07,20:36:00
208,2023-01-07,21:25:00
209,2023-01-07,19:04:00
210,2023-01-07,19:06:00
211,2023-01-07,20:54:00
212,2023-01-07,18:50:00
213,2023-01-07,22:22:00
214,2023-01-07,20:04:00
215,2023-01-07,20:00:00
216,2023-01-07,21:06:00
217,2023-01-07,16:40:00
218,2023-01-07,21:45:00
219,2023-01-07,12:46:00
220,2023-01-07,20:39:00
221,2023-01-07,21:29:00
222,2023-01-07,17:37:00
223,2023-01-07,12:53:00
224,2023-01-07,20:56:00
225,2023-01-07,16:36:00
226,2023-01-07,21:21:00
227,2023-01-07,09:11:00
228,2023-01-07,16:51:00
229,2023-01-07,13:56:00
230,2023-01-08,20:35:00
231,2023-01-08,08:05:00
232,2023-01-08,14:31:00
233,2023-01-08,19:44:00
234,2023-01-08,17:31:00
235,2023-01-08,15:05:00
236,2023-01-08,14:44:00
237,2023-01-08,13:30:00
238,2023-01-08,20:27:00
239,2023-01-08,23:22:00
240,2023-01-08,20:19:00
241,2023-01-08,11:46:00
242,2023-01-08,11:47:00
243,2023-01-08,19:12:00
244,2023-01-08,14:17:00
245,2023-01-08,20:06:00
246,2023-01-08,20:14:00
247,2023-01-08,13:00:00
248,2023-01-08,19:17:00
249,2023-01-08,07:35:00
250,2023-01-08,12:40:00
251,2023-01-08,21:06:00
252,2023-01-08,20:30:00
253,2023-01-08,16:11:00
254,2023-01-08,23:55:00
255,2023-01-08,15:25:00
256,2023-01-08,17:40:00
257,2023-01-08,19:09:00
258,2023-01-08,20:05:00
259,2023-01-08,22:35:00
260,2023-01-08,19:49:00
261,2023-01-08,21:58:00
262,2023-01-08,17:27:00
263,2023-01-08,11:39:00
264,2023-01-08,22:48:00
265,2023-01-08,12:16:00
266,2023-01-08,19:15:00
267,2023-01-08,11:10:00
268,2023-01-08,10:44:00
269,2023-01-08,20:02:00
270,2023-01-08,13:44:00
271,2023-01-08,18:43:00
272,2023-01-08,13:50:00
273,2023-01-08,19:27:00
274,2023-01-08,12:41:00
275,2023-01-08,13:52:00
276,2023-01-08,11:10:00
277,2023-01-08,20:28:00
278,2023-01-08,13:44:00
