record_id,period,provider_code,provider_name,specialty_code,specialty_name,region_code,region_name,total_waiting,within_18_weeks,over_18_weeks,over_52_weeks,median_wait_weeks,avg_wait_weeks
1,2021-01-01,RJ1,Guy's and St Thomas' NHS Foundation Trust,C_100,General Surgery,Y61,London,1537,1118,419,27,21.9,25.2
2,2021-01-01,RJ1,Guy's and St Thomas' NHS Foundation Trust,C_110,Urology,Y61,London,1445,1000,445,58,10.2,14.5
3,2021-01-01,RJ1,Guy's and St Thomas' NHS Foundation Trust,C_120,Trauma & Orthopaedics,Y61,London,2338,1400,938,62,15.3,20.4
4,2021-01-01,RJ1,Guy's and St Thomas' NHS Foundation Trust,C_130,Ear Nose & Throat,Y61,London,360,235,125,15,12.3,13.2
5,2021-01-01,RJ1,Guy's and St Thomas' NHS Foundation Trust,C_140,Ophthalmology,Y61,London,3393,2227,1166,161,22.5,30.2
6,2021-01-01,RJ1,Guy's and St Thomas' NHS Foundation Trust,C_150,Oral Surgery,Y61,London,870,597,273,15,7.0,8.6
7,2021-01-01,RJ1,Guy's and St Thomas' NHS Foundation Trust,C_160,Neurosurgery,Y61,London,482,321,161,38,17.1,23.2
8,2021-01-01,RJ1,Guy's and St Thomas' NHS Foundation Trust,C_170,Plastic Surgery,Y61,London,1710,1220,490,56,15.5,20.6
9,2021-01-01,RJ1,Guy's and St Thomas' NHS Foundation Trust,C_180,Cardiothoracic Surgery,Y61,London,376,294,82,14,15.6,18.6
10,2021-01-01,RJ1,Guy's and St Thomas' NHS Foundation Trust,C_190,Gynaecology,Y61,London,667,471,196,23,23.0,24.7
11,2021-01-01,RJ1,Guy's and St Thomas' NHS Foundation Trust,C_320,Cardiology,Y61,London,3092,2272,820,139,22.1,25.9
12,2021-01-01,RJ1,Guy's and St Thomas' NHS Foundation Trust,C_330,Dermatology,Y61,London,545,376,169,12,14.3,15.1
13,2021-01-01,RJ1,Guy's and St Thomas' NHS Foundation Trust,C_340,Respiratory Medicine,Y61,London,1000,741,259,58,12.9,15.7
14,2021-01-01,RJ1,Guy's and St Thomas' NHS Foundation Trust,C_350,Gastroenterology,Y61,London,1205,856,349,25,20.7,27.7
15,2021-01-01,RJ1,Guy's and St Thomas' NHS Foundation Trust,C_360,Rheumatology,Y61,London,1328,851,477,24,22.0,28.0
16,2021-01-01,RRV,University College London Hospitals NHS FT,C_100,General Surgery,Y61,London,1529,994,535,114,14.1,17.6
17,2021-01-01,RRV,University College London Hospitals NHS FT,C_110,Urology,Y61,London,529,349,180,15,7.1,8.9
18,2021-01-01,RRV,University College London Hospitals NHS FT,C_120,Trauma & Orthopaedics,Y61,London,3307,1949,1358,188,13.4,15.5
19,2021-01-01,RRV,University College London Hospitals NHS FT,C_130,Ear Nose & Throat,Y61,London,1422,877,545,38,19.1,24.5
20,2021-01-01,RRV,University College London Hospitals NHS FT,C_140,Ophthalmology,Y61,London,3064,1972,1092,201,10.8,14.0
21,2021-01-01,RRV,University College London Hospitals NHS FT,C_150,Oral Surgery,Y61,London,478,312,166,37,16.8,18.1
22,2021-01-01,RRV,University College London Hospitals NHS FT,C_160,Neurosurgery,Y61,London,1350,772,578,133,26.0,29.0
23,2021-01-01,RRV,University College London Hospitals NHS FT,C_170,Plastic Surgery,Y61,London,1201,792,409,55,14.1,15.0
24,2021-01-01,RRV,University College London Hospitals NHS FT,C_180,Cardiothoracic Surgery,Y61,London,802,591,211,22,20.7,24.3
25,2021-01-01,RRV,University College London Hospitals NHS FT,C_190,Gynaecology,Y61,London,2881,1922,959,185,10.0,12.7
26,2021-01-01,RRV,University College London Hospitals NHS FT,C_320,Cardiology,Y61,London,167,115,52,9,23.2,24.7
27,2021-01-01,RRV,University College London Hospitals NHS FT,C_330,Dermatology,Y61,London,2873,1808,1065,195,20.6,26.9
28,2021-01-01,RRV,University College London Hospitals NHS FT,C_340,Respiratory Medicine,Y61,London,3232,2239,993,221,12.4,13.5
29,2021-01-01,RRV,University College London Hospitals NHS FT,C_350,Gastroenterology,Y61,London,1787,1195,592,30,15.0,20.0
30,2021-01-01,RRV,University College London Hospitals NHS FT,C_360,Rheumatology,Y61,London,2903,1797,1106,271,26.3,31.8
31,2021-01-01,RAL,Royal Free London NHS Foundation Trust,C_100,General Surgery,Y61,London,990,664,326,33,22.8,28.4
32,2021-01-01,RAL,Royal Free London NHS Foundation Trust,C_110,Urology,Y61,London,2714,1808,906,157,20.7,23.2
33,2021-01-01,RAL,Royal Free London NHS Foundation Trust,C_120,Trauma & Orthopaedics,Y61,London,970,561,409,80,28.9,32.0
34,2021-01-01,RAL,Royal Free London NHS Foundation Trust,C_130,Ear Nose & Throat,Y61,London,280,161,119,28,14.3,18.0
35,2021-01-01,RAL,Royal Free London NHS Foundation Trust,C_140,Ophthalmology,Y61,London,3061,1917,1144,191,13.4,15.1
36,2021-01-01,RAL,Royal Free London NHS Foundation Trust,C_150,Oral Surgery,Y61,London,3400,2252,1148,148,20.6,26.9
37,2021-01-01,RAL,Royal Free London NHS Foundation Trust,C_160,Neurosurgery,Y61,London,685,399,286,65,25.2,28.8
38,2021-01-01,RAL,Royal Free London NHS Foundation Trust,C_170,Plastic Surgery,Y61,London,2451,1583,868,209,9.4,12.3
39,2021-01-01,RAL,Royal Free London NHS Foundation Trust,C_180,Cardiothoracic Surgery,Y61,London,2495,1744,751,164,18.5,24.8
40,2021-01-01,RAL,Royal Free London NHS Foundation Trust,C_190,Gynaecology,Y61,London,2112,1389,723,118,21.4,23.0
41,2021-01-01,RAL,Royal Free London NHS Foundation Trust,C_320,Cardiology,Y61,London,456,325,131,20,26.5,31.9
42,2021-01-01,RAL,Royal Free London NHS Foundation Trust,C_330,Dermatology,Y61,London,3411,2114,1297,193,14.2,16.1
43,2021-01-01,RAL,Royal Free London NHS Foundation Trust,C_340,Respiratory Medicine,Y61,London,2333,1626,707,74,6.5,8.3
44,2021-01-01,RAL,Royal Free London NHS Foundation Trust,C_350,Gastroenterology,Y61,London,707,465,242,40,6.5,9.1
45,2021-01-01,RAL,Royal Free London NHS Foundation Trust,C_360,Rheumatology,Y61,London,1091,658,433,69,13.6,15.0
46,2021-01-01,RXK,Sandwell and West Birmingham NHS Trust,C_100,General Surgery,Y59,Midlands,3324,2137,1187,158,19.9,27.3
47,2021-01-01,RXK,Sandwell and West Birmingham NHS Trust,C_110,Urology,Y59,Midlands,1278,843,435,78,9.0,9.7
48,2021-01-01,RXK,Sandwell and West Birmingham NHS Trust,C_120,Trauma & Orthopaedics,Y59,Midlands,861,513,348,66,21.4,23.7
49,2021-01-01,RXK,Sandwell and West Birmingham NHS Trust,C_130,Ear Nose & Throat,Y59,Midlands,2926,1739,1187,86,8.1,11.0
50,2021-01-01,RXK,Sandwell and West Birmingham NHS Trust,C_140,Ophthalmology,Y59,Midlands,285,183,102,20,17.4,23.5
51,2021-01-01,RXK,Sandwell and West Birmingham NHS Trust,C_150,Oral Surgery,Y59,Midlands,3086,2073,1013,97,21.3,22.6
52,2021-01-01,RXK,Sandwell and West Birmingham NHS Trust,C_160,Neurosurgery,Y59,Midlands,3316,1954,1362,82,13.9,16.2
53,2021-01-01,RXK,Sandwell and West Birmingham NHS Trust,C_170,Plastic Surgery,Y59,Midlands,885,576,309,61,9.9,11.5
54,2021-01-01,RXK,Sandwell and West Birmingham NHS Trust,C_180,Cardiothoracic Surgery,Y59,Midlands,201,146,55,5,26.9,30.0
55,2021-01-01,RXK,Sandwell and West Birmingham NHS Trust,C_190,Gynaecology,Y59,Midlands,1114,742,372,60,21.8,25.6
56,2021-01-01,RXK,Sandwell and West Birmingham NHS Trust,C_320,Cardiology,Y59,Midlands,3497,2598,899,73,21.8,29.4
57,2021-01-01,RXK,Sandwell and West Birmingham NHS Trust,C_330,Dermatology,Y59,Midlands,1186,778,408,45,7.3,9.1
58,2021-01-01,RXK,Sandwell and West Birmingham NHS Trust,C_340,Respiratory Medicine,Y59,Midlands,800,558,242,18,6.4,8.3
59,2021-01-01,RXK,Sandwell and West Birmingham NHS Trust,C_350,Gastroenterology,Y59,Midlands,1338,927,411,30,13.1,18.3
60,2021-01-01,RXK,Sandwell and West Birmingham NHS Trust,C_360,Rheumatology,Y59,Midlands,2634,1635,999,186,24.5,28.3
61,2021-01-01,RQ3,Birmingham Women's and Children's NHS FT,C_100,General Surgery,Y59,Midlands,291,235,56,7,11.0,14.5
62,2021-01-01,RQ3,Birmingham Women's and Children's NHS FT,C_110,Urology,Y59,Midlands,2912,2275,637,34,22.2,28.7
63,2021-01-01,RQ3,Birmingham Women's and Children's NHS FT,C_120,Trauma & Orthopaedics,Y59,Midlands,2248,1565,683,131,19.8,26.6
64,2021-01-01,RQ3,Birmingham Women's and Children's NHS FT,C_130,Ear Nose & Throat,Y59,Midlands,373,274,99,9,17.4,23.5
65,2021-01-01,RQ3,Birmingham Women's and Children's NHS FT,C_140,Ophthalmology,Y59,Midlands,1930,1479,451,22,27.8,30.6
66,2021-01-01,RQ3,Birmingham Women's and Children's NHS FT,C_150,Oral Surgery,Y59,Midlands,886,664,222,39,8.7,9.5
